id,x,y
,560840,6592650
,561150,6592650
,561446,6592665
,561727,6592650
,562051,6592622
,562352,6592339
,562655,6592050
,562971,6591727
,563253,6591720
,563542,6591424
,563865,6591396
,564168,6591466
,564457,6591438
,564766,6591445
,565083,6591431
,565365,6591410
,565717,6591424
,566005,6591438
,566280,6591452
,566554,6591438
,566843,6591431
,567167,6591748
,567470,6591741
,567730,6591741
,568061,6591748
,568321,6591762
,568659,6591748
,568948,6591452
,569307,6591142
,569581,6590861
,569912,6590854
,570173,6590847
,570475,6590572
,570813,6590565
,571067,6590840
,571419,6590847
,571637,6590875
,572017,6591170
,572249,6591149
,572573,6591135
,572862,6591149
,573164,6591149
,573509,6591163
,573742,6591149
,574065,6591142
,574375,6591445
,574671,6591431
,574938,6591438
,575269,6591431
,575551,6591438
,575853,6591741
,576156,6591741
,576466,6592057
,576737,6592335
,577033,6592652
,577370,6592638
,577610,6592941
,577976,6593251
,578286,6593258
,578595,6593560
,578870,6593835
,579208,6594159
,579475,6594454
,579841,6594426
,580059,6594433
,580404,6594426
,580686,6594166
,581010,6593786
,581284,6593518
,581594,6593553
,581918,6593518
,582221,6593546
,582481,6593546
,582770,6593525
,583079,6593518
,583382,6593821
,583685,6594088
,584001,6594109
,584290,6594116
,584579,6594440
,584839,6594750
,585177,6594729
,585473,6594729
,585797,6595032
,586078,6595348
,586353,6595644
,586691,6595637
,586979,6595658
,587254,6595947
,587585,6596242
,587880,6596559
,588169,6596841
,588493,6596848
,588767,6597157
,589049,6597446
,589344,6597742
,589668,6598023
,589971,6598340
,589964,6598643
,590288,6598924
,590604,6599276
,590879,6599530
,591175,6599818
,591491,6600142
,591780,6600431
,592055,6600452
,592378,6600431
,592646,6600431
,592984,6600417
,593279,6600445
,593575,6600163
,593878,6600114
,594195,6600107
,594469,6599832
,594765,6599551
,595074,6599227
,595356,6598960
,595645,6598952
,595947,6598685
,596271,6598650
,596560,6598657
,596891,6598685
,597158,6598692
,597503,6598650
,597785,6598636
,598045,6598636
,598376,6598333
,598672,6598044
,598974,6598030
,599256,6598037
,599551,6598044
,599889,6598037
,600171,6598016
,600467,6598044
,600755,6598030
,601079,6598044
,601361,6598037
,601670,6598051
,601994,6598023
,602248,6598023
,602543,6597735
,602888,6597432
,603163,6597150
,603465,6597150
,603775,6597143
,604036,6597136
,604388,6597425
,604669,6597439
,604972,6597418
,605246,6597439
,605535,6597439
,605852,6597179
,606161,6596841
,606478,6596869
,606781,6596855
,607055,6596841
,607400,6596834
,607661,6596848
,607949,6596820
,608259,6596834
,608555,6596841
,608865,6596848
,609188,6596827
,609442,6596841
,609752,6597129
,610061,6597418
